ID,State,County,obesity_percent,poverty_percent,,
342,Florida,Gulf County,30.9,14.3,,
343,Florida,Hamilton County,33.2,29.3,,
344,Florida,Hardee County,33.9,27.4,,
345,Florida,Hendry County,35.2,26.4,,
346,Florida,Hernando County,32.1,15.9,,
347,Florida,Highlands County,31,19.4,,
348,Florida,Hillsborough County,28.3,17,,
349,Florida,Holmes County,31.6,27.8,,
350,Florida,Indian River County,24.5,14.4,,
351,Florida,Jackson County,34.7,22.1,,
352,Florida,Jefferson County,32.2,15.9,,
353,Florida,Lafayette County,35.3,20.3,,
354,Florida,Lake County,29.3,13.9,,
355,Florida,Lee County,24.6,16.1,,
356,Florida,Leon County,26.4,22.3,,
357,Florida,Levy County,32.2,22,,
358,Florida,Liberty County,39.6,18.4,,
359,Florida,Madison County,34.1,25.7,,
360,Florida,Manatee County,25.3,15.2,,
361,Florida,Marion County,29.2,18.4,,
362,Florida,Martin County,21.3,12.1,,
363,Florida,Miami-Dade County,21,20.4,,
364,Florida,Monroe County,22,13.4,,
365,Florida,Nassau County,28.6,12.9,,
366,Florida,Okaloosa County,26.4,13.2,,
367,Florida,Okeechobee County,31,27.7,,
368,Florida,Orange County,24.9,17.8,,
369,Florida,Osceola County,29.1,19.5,,
370,Florida,Palm Beach County,21.5,14.5,,
371,Florida,Pasco County,31.1,14,,
372,Florida,Pinellas County,25.5,14.4,,
373,Florida,Polk County,32.3,18.3,,
374,Florida,Putnam County,36.1,28.7,,
375,Florida,St. Johns County,21.9,9.5,,
376,Florida,St. Lucie County,27.9,18.3,,
377,Florida,Santa Rosa County,26.1,12.3,,
378,Florida,Sarasota County,20.6,11,,
379,Florida,Seminole County,24.6,12.1,,
380,Florida,Sumter County,26.9,10.9,,
381,Florida,Suwannee County,33.3,23.9,,
382,Florida,Taylor County,38.9,14.7,,
383,Florida,Union County,37.1,20,,
384,Florida,Volusia County,26,17.4,,
385,Florida,Wakulla County,36.4,14.9,,
386,Florida,Walton County,27.5,17.1,,
387,Florida,Washington County,38.5,21.5,,18.24705882
388,Georgia,Appling County,34.8,20.9,,
389,Georgia,Atkinson County,35.3,28.7,,
390,Georgia,Bacon County,32.7,17.9,,
391,Georgia,Baker County,30,22.9,,
