State,County,percent
Georgia,Carroll County,31.7
Georgia,Catoosa County,27.8
Georgia,Charlton County,32
Georgia,Chatham County,31.3
Georgia,Chattahoochee County,27.3
Georgia,Chattooga County,34
Georgia,Cherokee County,26.9
Georgia,Clarke County,25.3
Georgia,Clay County,29.8
Georgia,Clayton County,38
Georgia,Clinch County,29.6
Georgia,Cobb County,22.9
Georgia,Coffee County,34.8
Georgia,Colquitt County,35.2
Georgia,Columbia County,30.3
Georgia,Cook County,31.4
Georgia,Coweta County,26.8
Georgia,Crawford County,27.3
Georgia,Crisp County,31.1
Georgia,Dade County,32.3
Georgia,Dawson County,27.7
Georgia,Decatur County,30
Georgia,DeKalb County,27.3
Georgia,Dodge County,28.5
Georgia,Dooly County,34.7
Georgia,Dougherty County,34.4
Georgia,Douglas County,32.3
Georgia,Early County,31.5
Georgia,Echols County,28.3
Georgia,Effingham County,35.2
Georgia,Elbert County,31.1
Georgia,Emanuel County,36.3
Georgia,Evans County,33.5
Georgia,Fannin County,25.9
Georgia,Fayette County,31.1
Georgia,Floyd County,31
Georgia,Forsyth County,29.4
Georgia,Franklin County,29.5
Georgia,Fulton County,23.9
Georgia,Gilmer County,29.7
Georgia,Glascock County,28.6
Georgia,Glynn County,26.2
Georgia,Gordon County,29.3
Georgia,Grady County,33
Georgia,Greene County,29.7
Georgia,Gwinnett County,29.5
Georgia,Habersham County,31.7
Georgia,Hall County,25.7
Georgia,Hancock County,31.2
Georgia,Haralson County,27.3
Georgia,Harris County,28.4
Georgia,Hart County,29.9
Georgia,Heard County,30.2
Georgia,Henry County,33.1
Georgia,Houston County,31
Georgia,Irwin County,29.2
Georgia,Jackson County,27.4
Georgia,Jasper County,29.3
Georgia,Jeff Davis County,30
Georgia,Jefferson County,35.3
Georgia,Jenkins County,29.9
Georgia,Johnson County,34
Georgia,Jones County,33.5
Georgia,Lamar County,30.6
Georgia,Lanier County,33.2
Georgia,Laurens County,36.2
Georgia,Lee County,31.2
Georgia,Liberty County,34.9
Georgia,Lincoln County,29
Georgia,Long County,31.4
Georgia,Lowndes County,31.3
Georgia,Lumpkin County,30.7
Georgia,McDuffie County,33.4
Georgia,McIntosh County,30.9
Georgia,Macon County,36.4
Georgia,Madison County,31.9
Georgia,Marion County,32.9
Georgia,Meriwether County,34.6
Georgia,Miller County,30.3
Georgia,Mitchell County,33.6
Georgia,Monroe County,31.9
Georgia,Montgomery County,36.2
Georgia,Morgan County,26.5
Georgia,Murray County,32.5
Georgia,Muscogee County,28.8
Georgia,Newton County,32.9
Georgia,Oconee County,28.8
Georgia,Oglethorpe County,30.1
Georgia,Paulding County,28.6
Georgia,Peach County,34.4
Georgia,Pickens County,26.7
Georgia,Pierce County,28.5
Georgia,Pike County,26.2
Georgia,Polk County,34.5
Georgia,Pulaski County,31.7
Georgia,Putnam County,30
Georgia,Quitman County,34
Georgia,Rabun County,29.4
Georgia,Randolph County,33.7
Georgia,Richmond County,34.1
Georgia,Rockdale County,36
Georgia,Schley County,30.4
Georgia,Screven County,33
Georgia,Seminole County,30.7
Georgia,Spalding County,32.4
Georgia,Stephens County,30.1
Georgia,Stewart County,34.2
Georgia,Sumter County,32.7
Georgia,Talbot County,33.3
Georgia,Taliaferro County,31.4
Georgia,Tattnall County,33.1
Georgia,Taylor County,28.8
Georgia,Telfair County,30.9
Georgia,Terrell County,31.6
Georgia,Thomas County,34
Georgia,Tift County,34
Georgia,Toombs County,31.5
Georgia,Towns County,27.4
Georgia,Treutlen County,32.9
Georgia,Troup County,30
